State_Name,District_Name
Andhra Pradesh,ANANTAPUR
Andhra Pradesh,CHITTOOR
Andhra Pradesh,EAST GODAVARI
Andhra Pradesh,GUNTUR
Andhra Pradesh,KADAPA
Andhra Pradesh,KRISHNA
Andhra Pradesh,KURNOOL
Andhra Pradesh,PRAKASAM
Andhra Pradesh,SPSR NELLORE
Andhra Pradesh,SRIKAKULAM
Andhra Pradesh,VISAKHAPATANAM
Andhra Pradesh,VIZIANAGARAM
Andhra Pradesh,WEST GODAVARI
Arunachal Pradesh,ANJAW
Arunachal Pradesh,CHANGLANG
Arunachal Pradesh,DIBANG VALLEY
Arunachal Pradesh,EAST KAMENG
Arunachal Pradesh,EAST SIANG
Arunachal Pradesh,KURUNG KUMEY
Arunachal Pradesh,LOHIT
Arunachal Pradesh,LOWER DIBANG VALLEY
Arunachal Pradesh,LOWER SUBANSIRI
Arunachal Pradesh,PAPUM PARE
Arunachal Pradesh,TAWANG
Arunachal Pradesh,TIRAP
Arunachal Pradesh,UPPER SIANG
Arunachal Pradesh,UPPER SUBANSIRI
Arunachal Pradesh,WEST KAMENG
Arunachal Pradesh,WEST SIANG
Assam,BAKSA
Assam,BARPETA
Assam,BONGAIGAON
Assam,CACHAR
Assam,CHIRANG
Assam,DARRANG
Assam,DHEMAJI
Assam,DHUBRI
Assam,DIBRUGARH
Assam,DIMA HASAO
Assam,GOALPARA
Assam,GOLAGHAT
Assam,HAILAKANDI
Assam,JORHAT
Assam,KAMRUP
Assam,KAMRUP METRO
Assam,KARBI ANGLONG
Assam,KARIMGANJ
Assam,KOKRAJHAR
Assam,LAKHIMPUR
Assam,MARIGAON
Assam,NAGAON
Assam,NALBARI
Assam,SIVASAGAR
Assam,SONITPUR
Assam,TINSUKIA
Assam,UDALGURI
Bihar,ARARIA
Bihar,ARWAL
Bihar,AURANGABAD
Bihar,BANKA
Bihar,BEGUSARAI
Bihar,BHAGALPUR
Bihar,BHOJPUR
Bihar,BUXAR
Bihar,DARBHANGA
Bihar,GAYA
Bihar,GOPALGANJ
Bihar,JAMUI
Bihar,JEHANABAD
Bihar,KAIMUR (BHABUA)
Bihar,KATIHAR
Bihar,KHAGARIA
Bihar,KISHANGANJ
Bihar,LAKHISARAI
Bihar,MADHEPURA
Bihar,MADHUBANI
Bihar,MUNGER
Bihar,MUZAFFARPUR
Bihar,NALANDA
Bihar,NAWADA
Bihar,PASHCHIM CHAMPARAN
Bihar,PATNA
Bihar,PURBI CHAMPARAN
Bihar,PURNIA
Bihar,ROHTAS
Bihar,SAHARSA
Bihar,SAMASTIPUR
Bihar,SARAN
Bihar,SHEIKHPURA
Bihar,SHEOHAR
Bihar,SITAMARHI
Bihar,SIWAN
Bihar,SUPAUL
Bihar,VAISHALI
Chandigarh,CHANDIGARH
Chhattisgarh,BASTAR
Chhattisgarh,BIJAPUR
Chhattisgarh,BILASPUR
Chhattisgarh,DANTEWADA
Chhattisgarh,DHAMTARI
Chhattisgarh,DURG
