State_Name,District_Name,latitude,longitude
Madhya Pradesh,REWA,24.7560846,81.3810574
Madhya Pradesh,SAGAR,23.8083076,78.758254
Madhya Pradesh,SATNA,24.6954445,80.7770348
Madhya Pradesh,SEHORE,23.1150041,77.0665356
Madhya Pradesh,SEONI,22.2748109,79.7202522
Madhya Pradesh,SHAHDOL,23.3002343,81.364771
Madhya Pradesh,SHAJAPUR,23.4171001,76.6074794
Madhya Pradesh,SHEOPUR,25.7499266,76.9212945
Madhya Pradesh,SHIVPURI,25.3741215,77.8278866
Madhya Pradesh,SIDHI,24.2112687,81.7000415
Madhya Pradesh,SINGRAULI,24.2431343,82.3827672
Madhya Pradesh,TIKAMGARH,24.8552105,79.0472546
Madhya Pradesh,UJJAIN,23.1885131,75.7716562
Madhya Pradesh,UMARIA,23.6431837,80.9419078
Madhya Pradesh,VIDISHA,23.8463003,77.8370209
Maharashtra,AHMEDNAGAR,19.1627725,74.8580243
Maharashtra,AKOLA,20.7618122,77.1921157
Maharashtra,AMRAVATI,21.1545412,77.6442962
Maharashtra,AURANGABAD,19.877263,75.3390241
Maharashtra,BEED,18.9918442,75.909784
Maharashtra,BHANDARA,21.1225869,79.794509
Maharashtra,BULDHANA,20.562845,76.4086986
Maharashtra,CHANDRAPUR,20.0967555,79.5045475
Maharashtra,DHULE,21.1305215,74.4900614
Maharashtra,GADCHIROLI,19.7590704,80.1622807
Maharashtra,GONDIA,21.455228,80.1962729
Maharashtra,HINGOLI,19.5431163,77.1739432
Maharashtra,JALGAON,20.8428826,75.5261246
Maharashtra,JALNA,19.918833,75.8708599
Maharashtra,KOLHAPUR,16.7028412,74.2405329
Maharashtra,LATUR,18.3553347,76.7548997
Maharashtra,NAGPUR,21.1498134,79.0820556
Maharashtra,NANDED,19.0940088,77.4831922
Maharashtra,NANDURBAR,21.5141622,74.5405513
Maharashtra,NASHIK,20.0112475,73.7902364
Maharashtra,OSMANABAD,18.2822454,76.0588166
Maharashtra,PARBHANI,19.2901981,76.6026443
Maharashtra,PUNE,18.5213738,73.8545071
Maharashtra,RAIGAD,18.4928092,73.138071
Maharashtra,RATNAGIRI,17.2826079,73.4569787
Maharashtra,SANGLI,17.1726928,74.5867654
Maharashtra,SATARA,17.6361288,74.2982781
Maharashtra,SINDHUDURG,16.1357193,73.6522086
Maharashtra,SOLAPUR,17.8499067,75.2763203
Maharashtra,THANE,19.1943294,72.9701779
Maharashtra,WARDHA,20.8256231,78.6131455
Maharashtra,WASHIM,20.2874178,77.2369655
Maharashtra,YAVATMAL,20.0638677,78.3565663
Manipur,BISHNUPUR,24.6267287,93.7600454
Manipur,CHANDEL,24.1700959,94.0059673
